date,Tmax,Tmin,Tavg
1905-03-01,NA,NA,-0.6
1905-03-02,NA,NA,-0.6
1905-03-03,NA,NA,-0.6
1905-03-04,NA,NA,-0.6
1905-03-05,NA,NA,-0.6
1905-03-06,NA,NA,-0.6
1905-03-07,NA,NA,-0.6
1905-03-08,NA,NA,-0.6
1905-03-09,NA,NA,-0.6
1905-03-10,NA,NA,-0.6
1905-03-11,NA,NA,-0.6
1905-03-12,NA,NA,-0.6
1905-03-13,NA,NA,-0.6
1905-03-14,NA,NA,-0.6
1905-03-15,NA,NA,-0.6
1905-03-16,NA,NA,-0.6
1905-03-17,NA,NA,-0.4
1905-03-18,NA,NA,0.6
1905-03-19,NA,NA,0.6
1905-03-20,NA,NA,0.2
1905-03-21,NA,NA,0.2
1905-03-22,NA,NA,0.6
1905-03-23,NA,NA,1.1
1905-03-24,NA,NA,2.4
1905-03-25,NA,NA,2
1905-03-26,NA,NA,2
1905-03-27,NA,NA,1.7
1905-03-28,NA,NA,1.9
1905-03-29,NA,NA,2.6
1905-03-30,NA,NA,2.8
1905-03-31,NA,NA,3.1
1905-04-01,NA,NA,2.2
1905-04-02,NA,NA,2.2
1905-04-03,NA,NA,2.2
1905-04-04,NA,NA,2.2
1905-04-05,NA,NA,2.2
1905-04-06,NA,NA,2.2
1905-04-07,NA,NA,2.2
1905-04-08,NA,NA,2.4
1905-04-09,NA,NA,2.6
1905-04-10,NA,NA,3.3
1905-04-11,NA,NA,3.3
1905-04-12,NA,NA,3.1
1905-04-13,NA,NA,3.5
1905-04-14,NA,NA,3.9
1905-04-15,NA,NA,4.3
1905-04-16,NA,NA,3.7
1905-04-17,NA,NA,3.3
1905-04-18,NA,NA,3.3
1905-04-19,NA,NA,2.8
1905-04-20,NA,NA,3.3
1905-04-21,NA,NA,4.1
1905-04-22,NA,NA,3.3
1905-04-23,NA,NA,3.3
1905-04-24,NA,NA,3.7
1905-04-25,NA,NA,3.7
1905-04-26,NA,NA,3.5
1905-04-27,NA,NA,5
1905-04-28,NA,NA,4.8
1905-04-29,NA,NA,5
1905-04-30,NA,NA,5.4
1905-05-01,NA,NA,4.4
1905-05-02,NA,NA,4.3
1905-05-03,NA,NA,4.4
1905-05-04,NA,NA,5
1905-05-05,NA,NA,5.7
1905-05-06,NA,NA,6.3
1905-05-07,NA,NA,6.1
1905-05-08,NA,NA,7.6
1905-05-09,NA,NA,5.2
1905-05-10,NA,NA,5.4
1905-05-11,NA,NA,6.7
1905-05-12,NA,NA,6.7
1905-05-13,NA,NA,7
1905-05-14,NA,NA,7.4
1905-05-15,NA,NA,7.2
1905-05-16,NA,NA,6.7
1905-05-17,NA,NA,6.1
1905-05-18,NA,NA,6.7
1905-05-19,NA,NA,6.7
1905-05-20,NA,NA,5.7
1905-05-21,NA,NA,5.6
1905-05-22,NA,NA,6.3
1905-05-23,NA,NA,7.2
1905-05-24,NA,NA,7.4
1905-05-25,NA,NA,7.8
1905-05-26,NA,NA,8.3
1905-05-27,NA,NA,9.3
1905-05-28,NA,NA,9.6
1905-05-29,NA,NA,9.8
1905-05-30,NA,NA,8.3
1905-05-31,NA,NA,8.3
